         4167088 function calls (4151322 primitive calls) in 33.934 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   481245    8.262    0.000   17.338    0.000 linalg.py:1924(norm)
   200000    6.255    0.000   22.384    0.000 sceneobject.py:22(intersect)
   481245    5.059    0.000    5.059    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   481249    1.749    0.000    3.207    0.000 numeric.py:392(asarray)
   521311    1.696    0.000    1.696    0.000 {numpy.core.multiarray.array}
    40000    1.397    0.000    3.558    0.000 camera.py:26(generateRay)
   306653    1.302    0.000    1.302    0.000 {numpy.core._dotblas.dot}
   280000    1.158    0.000   24.575    0.000 sceneobject.py:76(<genexpr>)
    26652    1.036    0.000    2.468    0.000 material.py:28(shade)
   481245    0.811    0.000    0.811    0.000 {method 'conj' of 'numpy.ndarray' objects}
        1    0.669    0.669   33.647   33.647 main.py:11(main)
    40000    0.647    0.000    1.033    0.000 sceneobject.py:47(intersect)
    74590    0.640    0.000   25.215    0.000 sceneobject.py:77(<genexpr>)
    54593    0.614    0.000    2.621    0.000 vecmath.py:21(normalized)
55309/40719    0.389    0.000   25.563    0.001 {min}
   120001    0.340    0.000    0.505    0.000 vecmath.py:24(quantize)
    26652    0.305    0.000    0.305    0.000 ray.py:8(evaluate)
    40000    0.277    0.000   25.840    0.001 sceneobject.py:75(intersect)
        1    0.189    0.189    0.706    0.706 function_base.py:1628(_vectorize_call)
   120001    0.165    0.000    0.165    0.000 {math.floor}
    40021    0.138    0.000    0.365    0.000 vecmath.py:8(vector)
    43770    0.114    0.000    0.114    0.000 sceneobject.py:33(<genexpr>)
    40000    0.079    0.000    0.079    0.000 vecmath.py:17(<lambda>)
    40000    0.077    0.000    0.077    0.000 vecmath.py:16(<lambda>)
    40000    0.074    0.000    0.074    0.000 ray.py:5(__init__)
    40000    0.063    0.000    0.063    0.000 {abs}
    34590    0.056    0.000    0.056    0.000 sceneobject.py:79(<lambda>)
    26652    0.044    0.000    0.044    0.000 light.py:19(sample)
        2    0.028    0.014   33.940   16.970 main.py:1(<module>)
        1    0.022    0.022    0.051    0.051 __init__.py:45(<module>)
        1    0.019    0.019    0.021    0.021 case.py:1(<module>)
      273    0.011    0.000    0.015    0.000 function_base.py:2945(add_newdoc)
   138/22    0.010    0.000    0.038    0.002 sre_parse.py:379(_parse)
        3    0.010    0.003    0.177    0.059 __init__.py:1(<module>)
   314/21    0.009    0.000    0.032    0.002 sre_compile.py:32(_compile)
        6    0.008    0.001    0.012    0.002 {method 'sub' of '_sre.SRE_Pattern' objects}
4965/4785    0.007    0.000    0.007    0.000 {len}
     5024    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      134    0.007    0.000    0.011    0.000 sre_compile.py:207(_optimize_charset)
     1228    0.006    0.000    0.009    0.000 sre_parse.py:182(__next)
        1    0.006    0.006    0.008    0.008 polynomial.py:55(<module>)
        1    0.006    0.006    0.008    0.008 chebyshev.py:87(<module>)
      201    0.006    0.000    0.008    0.000 function_base.py:8(linspace)
        1    0.006    0.006    0.008    0.008 laguerre.py:59(<module>)
